Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,LAUNDRY_FLR_1,VAV WITH REHEAT_DCV,0.000000,0.000000,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,CAFE_FLR_1,VAV WITH REHEAT_DCV,0.003540,0.000914,0.000000,0.000000,Sum,,1.00,1.00,,Ventilation Rate Procedure
,LOBBY_FLR_1,VAV WITH REHEAT_DCV,0.000000,0.001448,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,CORRIDOR_FLR_3,VAV WITH REHEAT_DCV,0.000000,0.000305,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,BANQUET_FLR_6,VAV WITH REHEAT_DCV,0.000000,0.003581,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,DINING_FLR_6,VAV WITH REHEAT_DCV,0.000000,0.003581,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,KITCHEN_FLR_6,VAV WITH REHEAT_DCV,0.000000,0.003556,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,CORRIDOR_FLR_6,VAV WITH REHEAT_DCV,0.000000,0.000305,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure


Time Not Comfortable Based on Simple ASHRAE 55-2004

,,Winter Clothes [hr],Summer Clothes [hr],Summer or Winter Clothes [hr]
,BASEMENT,18.33,8454.00,0.00
,RETAIL_1_FLR_1,3337.33,6466.50,1584.83
,RETAIL_2_FLR_1,445.83,7931.83,160.00
,MECH_FLR_1,2314.50,5552.17,453.17
,STORAGE_FLR_1,1306.83,8760.00,1306.83
,LAUNDRY_FLR_1,8760.00,3819.00,3819.00
,CAFE_FLR_1,932.00,8296.33,799.17
,LOBBY_FLR_1,1142.33,8049.33,846.67
,ROOM_1_FLR_3,2287.50,8482.00,2287.50
,ROOM_2_FLR_3,3061.67,8293.83,2952.83
,ROOM_3_MULT19_FLR_3,0.00,0.00,0.00
,ROOM_4_MULT19_FLR_3,1397.17,8722.00,1390.00
,ROOM_5_FLR_3,2207.17,8572.83,2207.17
,ROOM_6_FLR_3,2957.33,8426.00,2864.17
,CORRIDOR_FLR_3,940.67,8760.00,940.67
,ROOM_1_FLR_6,2892.83,8310.00,2888.33
,ROOM_2_FLR_6,3660.50,8084.33,3483.50
,ROOM_3_MULT9_FLR_6,1517.83,8428.83,1517.83
,BANQUET_FLR_6,1331.50,7415.17,700.33
,DINING_FLR_6,1888.67,6413.67,691.67
,KITCHEN_FLR_6,8759.33,6335.83,6335.83
,CORRIDOR_FLR_6,3117.83,5901.50,935.33
,Facility,8760.00,8760.00,7996.00
Aggregated over the RunPeriods for Weather


Time Setpoint Not Met

,,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
,BASEMENT,0.00,0.00,0.00,0.00
,RETAIL_1_FLR_1,0.00,0.00,0.00,0.00
,RETAIL_2_FLR_1,0.00,0.00,0.00,0.00
,MECH_FLR_1,0.00,0.00,0.00,0.00
,STORAGE_FLR_1,0.00,0.00,0.00,0.00
,LAUNDRY_FLR_1,0.00,0.00,0.00,0.00
,CAFE_FLR_1,0.00,0.00,0.00,0.00
,LOBBY_FLR_1,0.00,0.00,0.00,0.00
,ROOM_1_FLR_3,0.00,5.67,0.00,5.67
,ROOM_2_FLR_3,0.00,8.83,0.00,8.83
,ROOM_3_MULT19_FLR_3,0.00,0.00,0.00,0.00
,ROOM_4_MULT19_FLR_3,0.33,39.33,0.33,39.33
,ROOM_5_FLR_3,0.00,0.67,0.00,0.67
,ROOM_6_FLR_3,0.00,17.00,0.00,17.00
,CORRIDOR_FLR_3,0.00,0.00,0.00,0.00
,ROOM_1_FLR_6,0.00,10.67,0.00,10.67
,ROOM_2_FLR_6,0.00,18.00,0.00,18.00
,ROOM_3_MULT9_FLR_6,0.00,5.67,0.00,5.67
,BANQUET_FLR_6,0.00,0.00,0.00,0.00
,DINING_FLR_6,0.00,0.00,0.00,0.00
,KITCHEN_FLR_6,0.00,8.00,0.00,8.00
,CORRIDOR_FLR_6,0.00,0.00,0.00,0.00
,Facility,0.33,63.67,0.33,63.67
Aggregated over the RunPeriods for Weather


Thermostat Schedules

,,Thermostat Name 1,Control Type Schedule,Control Type,Control Type Name,Heating Schedule,Cooling Schedule
,BASEMENT,BASEMENT THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,BASEMENT DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,RETAIL_1_FLR_1,RETAIL_1_FLR_1 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,RETAIL_1_FLR_1 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,RETAIL_2_FLR_1,RETAIL_2_FLR_1 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,RETAIL_2_FLR_1 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,MECH_FLR_1,MECH_FLR_1 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,MECH_FLR_1 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,STORAGE_FLR_1,STORAGE_FLR_1 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,STORAGE_FLR_1 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,LAUNDRY_FLR_1,LAUNDRY_FLR_1 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,LAUNDRY_FLR_1 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,CAFE_FLR_1,CAFE_FLR_1 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,CAFE_FLR_1 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,LOBBY_FLR_1,LOBBY_FLR_1 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,LOBBY_FLR_1 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,ROOM_1_FLR_3,ROOM_1_FLR_3 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,S OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_S_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_S_OCCGUESTROOM_CLGSP_SCH_20MIN
,ROOM_2_FLR_3,ROOM_2_FLR_3 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,N OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_N_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_N_OCCGUESTROOM_CLGSP_SCH_20MIN
,ROOM_3_MULT19_FLR_3,ROOM_3_MULT19_FLR_3 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,VACGUESTROOM THERMOSTAT DUAL SP CONTROL,VACGUESTROOM_HTGSP_SCH,VACGUESTROOM_CLGSP_SCH
,ROOM_4_MULT19_FLR_3,ROOM_4_MULT19_FLR_3 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,N OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_N_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_N_OCCGUESTROOM_CLGSP_SCH_20MIN
,ROOM_5_FLR_3,ROOM_5_FLR_3 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,S OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_S_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_S_OCCGUESTROOM_CLGSP_SCH_20MIN
,ROOM_6_FLR_3,ROOM_6_FLR_3 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,N OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_N_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_N_OCCGUESTROOM_CLGSP_SCH_20MIN
,CORRIDOR_FLR_3,CORRIDOR_FLR_3 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,CORRIDOR_FLR_3 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,ROOM_1_FLR_6,ROOM_1_FLR_6 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,S OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_S_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_S_OCCGUESTROOM_CLGSP_SCH_20MIN
,ROOM_2_FLR_6,ROOM_2_FLR_6 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,N OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_N_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_N_OCCGUESTROOM_CLGSP_SCH_20MIN
,ROOM_3_MULT9_FLR_6,ROOM_3_MULT9_FLR_6 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,S OCCGUESTROOM THERMOSTAT DUAL SP CONTROL,OBCRESET_S_OCCGUESTROOM_HTGSP_SCH_20MIN,OBCRESET_S_OCCGUESTROOM_CLGSP_SCH_20MIN
,BANQUET_FLR_6,BANQUET_FLR_6 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,BANQUET_FLR_6 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,DINING_FLR_6,DINING_FLR_6 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,DINING_FLR_6 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,KITCHEN_FLR_6,KITCHEN_FLR_6 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,KITCHEN_FLR_6 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH
,CORRIDOR_FLR_6,CORRIDOR_FLR_6 THERMOSTAT,DUAL ZONE CONTROL TYPE SCHED,DualSetPointWithDeadBand,CORRIDOR_FLR_6 DUAL SP CONTROL,HTGSETP_SCH,CLGSETP_SCH


----------------------------------------------------------------------------------------------------
REPORT:,HVAC Topology
FOR:,Entire Facility
Air Loop Supply Side Component Arrangement

,,Airloop Name,Splitter Name,Supply Branch Name,Supply Branch Type,Component Type,Component Name,Sub-Component Type,Sub-Component Name,Sub-Sub-Component Type,Sub-Sub-Component Name,Mixer Name
,1,VAV WITH REHEAT,,,,,,,,,,
,2,VAV WITH REHEAT,,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:OUTDOORAIRSYSTEM,VAV WITH REHEAT_OA,,,,,
,3,VAV WITH REHEAT,,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:OUTDOORAIRSYSTEM,VAV WITH REHEAT_OA,HEATEXCHANGER:AIRTOAIR:SENSIBLEANDLATENT,VAV WITH REHEAT OA HEAT RECOVERY,,,
,4,VAV WITH REHEAT,,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:OUTDOORAIRSYSTEM,VAV WITH REHEAT_OA,OUTDOORAIR:MIXER,VAV WITH REHEAT_OAMIXING BOX,,,
,5,VAV WITH REHEAT,,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,COIL:COOLING:WATER,VAV WITH REHEAT COOLING COIL,,,,,
,6,VAV WITH REHEAT,,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,COIL:HEATING:WATER,VAV WITH REHEAT HEATING COIL,,,,,
,7,VAV WITH REHEAT,,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,FAN:VARIABLEVOLUME,VAV WITH REHEAT FAN,,,,,
,8,FLR_3_DOAS,,,,,,,,,,
,9,FLR_3_DOAS,,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:OUTDOORAIRSYSTEM,FLR_3_DOAS_OA,,,,,
,10,FLR_3_DOAS,,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:OUTDOORAIRSYSTEM,FLR_3_DOAS_OA,HEATEXCHANGER:AIRTOAIR:SENSIBLEANDLATENT,FLR_3_DOAS OA HEAT RECOVERY,,,
,11,FLR_3_DOAS,,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:OUTDOORAIRSYSTEM,FLR_3_DOAS_OA,OUTDOORAIR:MIXER,FLR_3_DOAS_OAMIXING BOX,,,
,12,FLR_3_DOAS,,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,COIL:COOLING:WATER,FLR_3_DOAS COOLING COIL,,,,,
,13,FLR_3_DOAS,,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,COIL:HEATING:WATER,FLR_3_DOAS HEATING COIL,,,,,
,14,FLR_3_DOAS,,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,FAN:CONSTANTVOLUME,FLR_3_DOAS FAN,,,,,


Air Loop Demand Side Component Arrangement

,,Airloop Name,Supply Branch Name,Supply Branch Type,Supply Path Component Type,Supply Path Component Name,Terminal Unit Type,Terminal Unit Name,Zone Name,Return Path Component Type,Return Path Component Name
,1,VAV WITH REHEAT,,,,,,,,,
,2,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,,,,,
,3,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,BASEMENT VAV BOX COMPONENT,BASEMENT,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,4,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,RETAIL_1_FLR_1 VAV BOX COMPONENT,RETAIL_1_FLR_1,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,5,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,RETAIL_2_FLR_1 VAV BOX COMPONENT,RETAIL_2_FLR_1,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,6,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,MECH_FLR_1 VAV BOX COMPONENT,MECH_FLR_1,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,7,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,STORAGE_FLR_1 VAV BOX COMPONENT,STORAGE_FLR_1,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,8,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,LAUNDRY_FLR_1 VAV BOX COMPONENT,LAUNDRY_FLR_1,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,9,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,CAFE_FLR_1 VAV BOX COMPONENT,CAFE_FLR_1,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,10,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,LOBBY_FLR_1 VAV BOX COMPONENT,LOBBY_FLR_1,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,11,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,CORRIDOR_FLR_3 VAV BOX COMPONENT,CORRIDOR_FLR_3,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,12,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,CORRIDOR_FLR_6 VAV BOX COMPONENT,CORRIDOR_FLR_6,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,13,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,BANQUET_FLR_6 VAV BOX COMPONENT,BANQUET_FLR_6,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,14,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,DINING_FLR_6 VAV BOX COMPONENT,DINING_FLR_6,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,15,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,VAV WITH REHEAT SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,KITCHEN_FLR_6 VAV BOX COMPONENT,KITCHEN_FLR_6,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,16,VAV WITH REHEAT,VAV WITH REHEAT AIR LOOP MAIN BRANCH,Main,,,,,,AIRLOOPHVAC:ZONEMIXER,VAV WITH REHEAT RETURN AIR MIXER
,17,FLR_3_DOAS,,,,,,,,,
,18,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,,,,,
,19,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_1_FLR_3 DIRECT AIR,ROOM_1_FLR_3,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,20,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_2_FLR_3 DIRECT AIR,ROOM_2_FLR_3,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,21,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_3_MULT19_FLR_3 DIRECT AIR,ROOM_3_MULT19_FLR_3,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,22,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_4_MULT19_FLR_3 DIRECT AIR,ROOM_4_MULT19_FLR_3,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,23,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_5_FLR_3 DIRECT AIR,ROOM_5_FLR_3,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,24,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_6_FLR_3 DIRECT AIR,ROOM_6_FLR_3,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,25,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_1_FLR_6 DIRECT AIR,ROOM_1_FLR_6,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,26,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_2_FLR_6 DIRECT AIR,ROOM_2_FLR_6,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,27,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,AIRLOOPHVAC:ZONESPLITTER,FLR_3_DOAS SUPPLY AIR SPLITTER,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,ROOM_3_MULT9_FLR_6 DIRECT AIR,ROOM_3_MULT9_FLR_6,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER
,28,FLR_3_DOAS,FLR_3_DOAS AIR LOOP MAIN BRANCH,Main,,,,,,AIRLOOPHVAC:ZONEMIXER,FLR_3_DOAS RETURN AIR MIXER


Zone Equipment Component Arrangement

,,Zone Name,Component Type,Component Name,Sub-Component Type,Sub-Component Name,Sub-Sub-Component Type,Sub-Sub-Component Name
,1,BASEMENT,,,,,,
,2,BASEMENT,ZONEHVAC:AIRDISTRIBUTIONUNIT,BASEMENT VAV BOX,,,,
